molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1290746,Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnn(-c2ccccc2F)c1N,inactive,420.40400000000017,3.3946200000000006,3.0,7.0,4.823908740944319
CHEMBL2012519,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,inactive,364.3940000000001,1.5195999999999998,3.0,7.0,5.0
CHEMBL1651521,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,inactive,348.3950000000001,2.548800000000001,2.0,6.0,5.0
CHEMBL1738710,Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,inactive,449.8410000000002,2.773620000000001,2.0,6.0,5.0
CHEMBL1808264,CC(C)c1nc(-c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1,active,667.7389999999998,6.583800000000005,2.0,10.0,8.0
CHEMBL1834657,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,inactive,658.4800000000004,4.425800000000005,5.0,9.0,5.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,active,440.5070000000002,4.2173000000000025,1.0,7.0,9.301029995663981
CHEMBL1916712,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)C#CCN1CCOCC1,active,470.5330000000004,3.217220000000001,2.0,8.0,9.072116589669292
CHEMBL1916713,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)C#CCN1CCCCC1,active,468.56100000000043,4.370920000000003,2.0,7.0,9.072116589669292
CHEMBL1916714,C=C(CN1CCOCC1)C(=O)Nc1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,active,472.5490000000002,3.7700200000000015,2.0,8.0,8.598599459218455
CHEMBL1916715,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)/C=C/CN(C)C,active,430.5120000000002,3.9994200000000024,2.0,7.0,9.053547734986926
CHEMBL1916716,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1N(CC1CC1)C(=O)/C=C/CN(C)C,active,484.6040000000004,4.803920000000004,1.0,7.0,7.343901797987168
CHEMBL1916717,CCN(C(=O)/C=C/CN(C)C)c1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,active,458.56600000000014,4.413820000000004,1.0,7.0,7.718966632752273
