molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1834657,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,inactive,10000.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,active,0.5
CHEMBL1916712,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)C#CCN1CCOCC1,active,0.847
CHEMBL1916713,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)C#CCN1CCCCC1,active,0.847
CHEMBL1916714,C=C(CN1CCOCC1)C(=O)Nc1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,active,2.52
CHEMBL1916715,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)/C=C/CN(C)C,active,0.884
CHEMBL1916716,COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1N(CC1CC1)C(=O)/C=C/CN(C)C,active,45.3
CHEMBL1916717,CCN(C(=O)/C=C/CN(C)C)c1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,active,19.1
CHEMBL1916718,Cc1ccccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,3.99
CHEMBL1916719,CN(C)C/C=C/C(=O)N(C)c1ccc2nc(Cl)c3cncn3c2c1,intermediate,4290.0
CHEMBL1916879,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,16.8
CHEMBL1916880,Cc1ccc(F)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,3.33
CHEMBL1916881,Cc1cc(F)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,2.96
CHEMBL1916882,Cc1c(F)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,1.89
CHEMBL1916883,Cc1cccc(Cl)c1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,10.3
CHEMBL1916884,Cc1ccc(Cl)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,13.2
CHEMBL1916885,Cc1cc(Cl)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,7.56
CHEMBL1916886,Cc1c(Cl)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,60.6
CHEMBL1916887,Cc1cccc(O)c1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,10.4
CHEMBL1916888,Cc1ccc(O)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,1.55
CHEMBL1916889,Cc1cc(O)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,12.2
CHEMBL1916890,Cc1c(O)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,76.5
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,1.93
CHEMBL1916892,CN(C)C/C=C/C(=O)N(C)c1cc2c(cc1F)nc(Nc1ccccc1Cl)c1cncn12,active,1.82
CHEMBL1916893,Cc1ccc(F)cc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,6.76
CHEMBL1916894,Cc1cc(F)ccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,5.35
CHEMBL1916895,Cc1ccccc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,4.83
CHEMBL1916896,CN(C)C/C=C/C(=O)N(C)c1cc2c(cc1Cl)nc(Nc1ccccc1Cl)c1cncn12,active,5.03
CHEMBL1916897,Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,3.98
CHEMBL1916898,Cc1cc(F)ccc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,9.53
CHEMBL1916899,Cc1ccccc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,5.51
CHEMBL1916900,Cc1ccc(F)cc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,13.0
CHEMBL1916901,Cc1cc(F)ccc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,9.53
CHEMBL1916902,Cc1cc(F)ccc1Oc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,6.58
CHEMBL1916903,Cc1ccccc1Sc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,283.0
CHEMBL1916904,CNc1ccc2nc(Nc3cc(F)ccc3C)c3cncn3c2c1,active,72.0
CHEMBL1916905,CNc1ccc2nc(Oc3ccc(F)cc3C)c3cncn3c2c1,intermediate,1220.0
CHEMBL1916906,CNc1cc2c(cc1F)nc(Nc1ccccc1C)c1cncn12,active,40.0
CHEMBL1916907,CNc1cc2c(cc1F)nc(Oc1ccccc1C)c1cncn12,active,670.0
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,0.7
CHEMBL1916897,Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,2.6
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,48.0
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,3.31
CHEMBL1916359,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,inactive,10000.0
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,inactive,30000.0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,inactive,30000.0
CHEMBL1933552,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccc(F)cc5[nH]4)c4ccccc43)C2)CN1,inactive,30000.0
CHEMBL2010872,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,active,93.0
CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,active,1000.0
CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,active,10.0
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,intermediate,2500.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,active,0.5
CHEMBL2057912,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCC1,active,8.2
CHEMBL2057913,C=CC(=O)N1CCCC(c2c(Cl)c(-c3ccc(Oc4ccc(Cl)c(Cl)c4)c(OC)c3)c3c(N)ncnn23)C1,active,2.0
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,1.93
CHEMBL2057914,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3cn4ccnc4c(Nc4ccccc4)n3)c2)cc1,active,400.0
